Factorisations Of Cunningham Numbers C-(6,n) = 6^n - 1

Canonical Representation Of Factorisations

1. Factorisations are given from smallest to largest factor, with a period '.'
   separating factors.
2. Multiplicity of factors is indicated with the carat '^' in ascii tradition
   for the text version of the tables but not the HTML version.
3. The backslash '\' is used to indicate continuation of a line, the decimal
   digit representation of the number does not stop but continues on the next
   line as if no break had occured. This can sometimes make for bad breaks, but
   such is life.

Notation Used In The Tables

1. #Fac is the number of (non distinct) prime factors in an expression.
2. A plussed #Fac means that more prime factors exist but they are unknown due
   to an unfactored composite in the expression.

========================================================================================================================

   n  #Fac  Factorisation
 136    16  5.7.37.137.239.409.1123.1297.5849.30839.190537.934117.12690943.1536052010629489.8289713345361373993.5142057\
            6374811381403609445473
 137     6  5.6577.25247731.53280671.60042056488501962187.1522214510879021329626941843334490679379355130104242302631442\
            9342733
 138    14  5.7.31.43.47.139.3221.11731.113958101.990000731.7505944891.24648570768391.816214079084081564521.12363858534\
            32057889667843739281
 139     5  5.557.21407.128159.1904994318294264032001011698767856776424905969372788422268974477324726371768074195193068\
            08486559
 140    25  5^2.7^2.11.29.37.71.101.197.241.311.421.631.701.2311.6781.9241.55987.585131.5030761.37863211.1469029031.135\
            09594555661.1708114263204222806519161
 141    11  5.43.283.13537.753554761.930911329.45110836129.122320721569.989671414201.17821718159716147.9318249558895921\
            24612176563793529
 142     6  5.7.37489.11735704315681.5757417485448059422914748320317168839.35462452974572174935904491917485464580055951\
            87661976371
 143     8  5.23.859.3433.760891.3154757.62545486153056268832471.370492708153183538667516076628295958764609620252358691\
            48795940042759
 144    23  5.7.13.17.19.31.37.43.73.97.541.577.1297.2467.3313.5953.46441.55117.98801.1678321.473896897.2478750186961.2\
            2452257707354557235348829785471057921
 145     7  5^2.311.132241.150433631394488258261.7369130657357778596659.59580423676805748420140957215180302958743471829\
            183098610333631
 146    11  5.7.293.439.120855443.1389436303.44764549877.2436094907761.8439148071138817.138721648424756087.422188345937\
            8030470824476438562257
 147     9  5.43.55987.6527977.32093041.1822428931.122694573317.600827908214213.721593495645162209494937916430925440485\
            5094763766767407121
 148    15  5.7.37^2.149.3923.4441.7919.12211.2569799.334286825813.1096762734443.2054788991719.3300043400835529.1908924\
            07618022993841069346975403017
 149     4  5.38538553.1318713554713829548602512956686040272376450743377909.3463541760502538278596775684588153902182357\
            12359759067327
 150    22  5^3.7.11.31.43.101.151.311.601.1171.1201.82051.168151.1950271.18198701.40185601.573178201.918628247364601.3\
            655688315536801.271041511600591342728451
 151     4  5.2623968964411.4956504421137000338429923175878885954098593563.48723066259314477894157817245533780187559387\
            828254264047307
 152    14  5.7.37.191.1297.1787.4561.48713705333.638073026189.1030762781149.355518408146401.9736145643041809.502818748\
            6478069273.13038313680704041577
 153    14  5.19.43.239.307.409.1123.2467.30839.927037099.9757142011.23412002806867.12644443230579801886843521019.40670\
            77533669936706351248605374735249
 154    12  5.7^2.23.29.197.55987.3154757.51828151.484847574510970082567.84002092056248016278479853.5701908713415125406\
            1666621717728669167279862151
 155     8  5^2.311.5333.3559267608341.49744740983476472807.208210289142572055121.2686345232069105360022926492125783168\
            511035955840811134515391
 156    26  5.7.13^2.31.37.43.53.79.97.157.313.937.2341.3433.8893.9049.37571.760891.868999.3143401.8857759.126201427521\
            1.6291946695217.197743936282933.6429178169720749
 157     6  5.6446107.6423436771.81127299702871294523556776543.8695994904356302134775281276601.101210377513117399538507\
            3322337706122495245797
 158    10  5.7.317.5531.2832941.1147240288157.99687312908749681.26283825237209622143.197531251446059329471533015409.85\
            92319153827988586815914947213
 159     8  5.43.13781.118721004139.67587459957091.357293834576449.7091531088740602980647.88342645123243360518614293208\
            997935963729713364951837539
 160    23  5^2.7.11.17.37.41.101.241.311.353.1297.1697.6781.9601.17761.98801.4709377.3696985841.68754507401.1212061208\
            81.2810800069601.2347110840158563816028186318246561
 161    11  5.47.139.3221.10949.55987.593447.7505944891.491787574454982121.3358586137753609961516447641418203949.403733\
            622730561138499463252012494935013
 162    16  5.7.19.31.43.163.1783.2467.46441.114967.149862151.883383463.27767002339.623067280651.3920344350409644507093\
            715799617.37725805717350619429950429139147
 163     4  5.653.2378523250342970947582043555610171717174452063.888102772526021838488123845334486037375412519645053051\
            472793437455099303804577
 164    11  5.7.37.83.28537.4046701.8648131.174521133001.1854850885886497427178961.4837453663777044375040181.2461793762\
            06361788466441901958293949537091001
 165    15  5^2.23.43.67.311.331.1171.1201.3154757.3675127061.45686117391553.13724862774476458441.303146295935105097739\
            1.46975793563298851302025905551105268509881
 166    13  5.7.167.499.17597.710813.41580677.6547890917.80781507941.605274844997.21608536062644851877771.2589238104153\
            304205575487.54824363564629401758409941
 167     7  5.19466857.10301691259.229027359614687.9703107759710968661.2200446540213260920441013.1822952692682777153874\
            022559086738173481449195038610359
 168    25  5.7^2.13.29.31.37.43.97.197.281.337.421.617.1297.55987.1678321.5030761.804146449.1822428931.2527867231.6055\
            984789.81035189089.1176362433121.19100900655540830489319601
 169     9  5.677.3433.3719.760891.1420277.3066042413300025661761581713.351082413599031251316269147227.6400588768393061\
            926708979473301321313835119309935933
 170    18  5^2.7.11.101.239.311.409.1123.30839.190537.12690943.26807981.1383638161.20891158391.72085651321561.74079767\
            2014674927371043791.94260123386979283872547675418641
 171    12  5.19^2.43.191.2467.47881.820459.638073026189.219815829325921729.25896916098621777025320461067950269867.2219\
            821955745760247086895900084483710540707577
 172    12  5.7.37.173.431.1033.6501601.7383359.1048953903129961695599.2914764989376043020733.4124826886271780798075986\
            75848631.11510167124054813592781820845997449
 173     4  5.924669087985921.495043698717322221180325946047148316337.1822075782646830894938583830209188116275940005015\
            26518712612326479679426743760419
 174    18  5.7.31.43.59.32713.68209.92569.1439329.2694217.380675809.519258631.1833921547.24378360481.4706691035521.135\
            7610070580129.2727192763388813.7369130657357778596659
 175    18  5^3.71.311.55987.3822701.18198701.37863211.40185601.114265201.141218351.1469029031.7292423951.34840572551.3\
            5107498301.2370825139201.1830889518750884483049855551
 176    16  5.7.17.23.37.89.1297.58477.70489.98801.863017.3154757.51828151.9307950433.150080764792922988676714149209.19\
            197545705142827447183881455518760379441910619182497
 177     7  5.43.1421059369.4866979762781.29050941569087.11522163007228653937.10858425786238028354386902800973215341799\
            18997337939580812207878874189620256468939
 178     7  5.7.179.8011.2064441331.21777198152670085407545228412531133078179560879352228259.14371768505400200210560247\
            01236917910178773041847685459251313907949
 179     7  5.359.4297.399887.1126853766403.171074041901536300021132517497157303.32723145939857105254073062747603242457\
            934389456326140203542651219352439116082951
 180    34  5^2.7.11.13.19.31.37.43.61.73.97.101.181.241.311.541.1171.1201.2161.2467.3541.6781.9001.46441.55117.74161.1\
            12771.211501.1950271.2106930961.19353635731.4760317816590150361.5597780112726834061
 181     4  5.39821.12684206910817829.277351701972446055460273290021643040866933558956498128941432837743908106572043434\
            563228925029360457738510095499722563859
 182    18  5.7^2.29.53.197.937.2003.2549.3433.36947.37571.55987.760891.52769627.48215910563832798697.18387384601688960\
            01275668872592841923.12468702878009806771287543538567443817
 183     7  5.43.42461491.80057377.22335533202362157841587721.17252803354297421346943980322273.895339544975032501186996\
            37546839899399734520603663770267136954194731
 184    17  5.7.37.47.139.1297.3221.6073.14537.2259889.9564781.113958101.990000731.7505944891.433176829049.128407494947\
            883673.47625006826357122080464279208098880721125912766130417
 185    10  5^2.149.311.7919.12211.2569799.334286825813.1063053988637874955869001.8873589665415203133950333391744438230\
            286867676415750962427767047136867240312454677254211
